experiment_id,feature,k1,k2,dropout1,dropout2,batch_size,lr,test_acc,precision,recall,f1_score,final_train_loss,min_train_loss,training_time_sec,num_params,confusion_matrix_path,classification_report_path,learning_curve_path
35,MFCC,32,64,0.3,0.4,64,0.001,69.26546391752578,0.6430068950382763,0.6399486117502684,0.6413490396703705,0.5944200385642308,0.5895179458843764,13.06116008758545,18946,Results/Tuning\cm_exp_35.csv,Results/Tuning\report_exp_35.csv,Results/Tuning\learning_curve_exp_35.csv
36,MFCC,32,64,0.3,0.4,64,0.0001,68.29896907216495,0.34149484536082475,0.5,0.4058192955589586,0.6191739196418434,0.6163153641967363,12.887025594711304,18946,Results/Tuning\cm_exp_36.csv,Results/Tuning\report_exp_36.csv,Results/Tuning\learning_curve_exp_36.csv
37,MFCC,32,128,0.2,0.3,16,0.01,68.94329896907216,0.6341366735373395,0.5259549010584446,0.47491015274034143,0.6094150545635844,0.6079056434999637,24.359168767929077,37570,Results/Tuning\cm_exp_37.csv,Results/Tuning\report_exp_37.csv,Results/Tuning\learning_curve_exp_37.csv
38,MFCC,32,128,0.2,0.3,16,0.001,73.90463917525774,0.7120268859901353,0.63361328424605,0.6423464612180682,0.5518253591810138,0.5476559232567061,23.757375717163086,37570,Results/Tuning\cm_exp_38.csv,Results/Tuning\report_exp_38.csv,Results/Tuning\learning_curve_exp_38.csv
39,MFCC,32,128,0.2,0.3,16,0.0001,68.29896907216495,0.34149484536082475,0.5,0.4058192955589586,0.6032901708753451,0.6032901708753451,23.93369770050049,37570,Results/Tuning\cm_exp_39.csv,Results/Tuning\report_exp_39.csv,Results/Tuning\learning_curve_exp_39.csv
40,MFCC,32,128,0.2,0.3,32,0.01,68.29896907216495,0.34149484536082475,0.5,0.4058192955589586,0.6257213445934089,0.6233773780835642,16.751384019851685,37570,Results/Tuning\cm_exp_40.csv,Results/Tuning\report_exp_40.csv,Results/Tuning\learning_curve_exp_40.csv
41,MFCC,32,128,0.2,0.3,32,0.001,70.03865979381443,0.7038797785939683,0.5377857033287313,0.49130141490781215,0.5492702681470562,0.5492702681470562,16.9033842086792,37570,Results/Tuning\cm_exp_41.csv,Results/Tuning\report_exp_41.csv,Results/Tuning\learning_curve_exp_41.csv
42,MFCC,32,128,0.2,0.3,32,0.0001,68.29896907216495,0.34149484536082475,0.5,0.4058192955589586,0.6140117693591762,0.6111650196281639,16.488478422164917,37570,Results/Tuning\cm_exp_42.csv,Results/Tuning\report_exp_42.csv,Results/Tuning\learning_curve_exp_42.csv
43,MFCC,32,128,0.2,0.3,64,0.01,68.29896907216495,0.34149484536082475,0.5,0.4058192955589586,0.6302930328153795,0.6219484232446199,13.301677703857422,37570,Results/Tuning\cm_exp_43.csv,Results/Tuning\report_exp_43.csv,Results/Tuning\learning_curve_exp_43.csv
44,MFCC,32,128,0.2,0.3,64,0.001,70.55412371134021,0.6498237417710766,0.6014611136677405,0.6050021858806036,0.58233436845964,0.5777630254786502,13.135193347930908,37570,Results/Tuning\cm_exp_44.csv,Results/Tuning\report_exp_44.csv,Results/Tuning\learning_curve_exp_44.csv
45,MFCC,32,128,0.2,0.3,64,0.0001,68.29896907216495,0.34149484536082475,0.5,0.4058192955589586,0.6131474680157118,0.6131474680157118,13.209433555603027,37570,Results/Tuning\cm_exp_45.csv,Results/Tuning\report_exp_45.csv,Results/Tuning\learning_curve_exp_45.csv
46,MFCC,32,128,0.2,0.4,16,0.01,68.29896907216495,0.34149484536082475,0.5,0.4058192955589586,0.6252198498746567,0.6243784319417587,24.464658498764038,37570,Results/Tuning\cm_exp_46.csv,Results/Tuning\report_exp_46.csv,Results/Tuning\learning_curve_exp_46.csv
47,MFCC,32,128,0.2,0.4,16,0.001,73.7757731958763,0.6948095981617417,0.6729674796747968,0.6805025656848191,0.5479344080295666,0.5446224220722995,24.499489545822144,37570,Results/Tuning\cm_exp_47.csv,Results/Tuning\report_exp_47.csv,Results/Tuning\learning_curve_exp_47.csv
48,MFCC,32,128,0.2,0.4,16,0.0001,68.29896907216495,0.34149484536082475,0.5,0.4058192955589586,0.6106754196530112,0.6106754196530112,23.23808479309082,37570,Results/Tuning\cm_exp_48.csv,Results/Tuning\report_exp_48.csv,Results/Tuning\learning_curve_exp_48.csv
49,MFCC,32,128,0.2,0.4,32,0.01,68.36340206185567,0.6199683156909339,0.503194508360178,0.41566578713491187,0.605652208102716,0.605652208102716,16.70568013191223,37570,Results/Tuning\cm_exp_49.csv,Results/Tuning\report_exp_49.csv,Results/Tuning\learning_curve_exp_49.csv
50,MFCC,32,128,0.2,0.4,32,0.001,69.20103092783505,0.6987909788421298,0.5196732627703635,0.4529198512125118,0.5603165442879136,0.5603165442879136,16.701488494873047,37570,Results/Tuning\cm_exp_50.csv,Results/Tuning\report_exp_50.csv,Results/Tuning\learning_curve_exp_50.csv
51,MFCC,32,128,0.2,0.4,32,0.0001,68.29896907216495,0.34149484536082475,0.5,0.4058192955589586,0.6140596956820101,0.6107044408450255,16.772470474243164,37570,Results/Tuning\cm_exp_51.csv,Results/Tuning\report_exp_51.csv,Results/Tuning\learning_curve_exp_51.csv
52,MFCC,32,128,0.2,0.4,64,0.01,68.29896907216495,0.34149484536082475,0.5,0.4058192955589586,0.626139385084952,0.6218731701374054,12.962808609008789,37570,Results/Tuning\cm_exp_52.csv,Results/Tuning\report_exp_52.csv,Results/Tuning\learning_curve_exp_52.csv
53,MFCC,32,128,0.2,0.4,64,0.001,69.58762886597938,0.6875477463712758,0.530127320141126,0.4770112973053242,0.5669559298023101,0.5669559298023101,13.25397777557373,37570,Results/Tuning\cm_exp_53.csv,Results/Tuning\report_exp_53.csv,Results/Tuning\learning_curve_exp_53.csv
54,MFCC,32,128,0.2,0.4,64,0.0001,68.29896907216495,0.34149484536082475,0.5,0.4058192955589586,0.6118444499149117,0.6118444499149117,13.257807731628418,37570,Results/Tuning\cm_exp_54.csv,Results/Tuning\report_exp_54.csv,Results/Tuning\learning_curve_exp_54.csv
55,MFCC,32,128,0.3,0.3,16,0.01,68.29896907216495,0.34149484536082475,0.5,0.4058192955589586,0.6250530990158639,0.6241248785480251,24.21175765991211,37570,Results/Tuning\cm_exp_55.csv,Results/Tuning\report_exp_55.csv,Results/Tuning\learning_curve_exp_55.csv
56,MFCC,32,128,0.3,0.3,16,0.001,72.80927835051546,0.6822998737548263,0.6517333946924375,0.6601344633401623,0.558553269319741,0.558553269319741,24.481797218322754,37570,Results/Tuning\cm_exp_56.csv,Results/Tuning\report_exp_56.csv,Results/Tuning\learning_curve_exp_56.csv
57,MFCC,32,128,0.3,0.3,16,0.0001,68.29896907216495,0.34149484536082475,0.5,0.4058192955589586,0.6083636917880557,0.6083636917880557,25.012473821640015,37570,Results/Tuning\cm_exp_57.csv,Results/Tuning\report_exp_57.csv,Results/Tuning\learning_curve_exp_57.csv
58,MFCC,32,128,0.3,0.3,32,0.01,68.29896907216495,0.34149484536082475,0.5,0.4058192955589586,0.6240797029959189,0.6234142432341705,16.96641778945923,37570,Results/Tuning\cm_exp_58.csv,Results/Tuning\report_exp_58.csv,Results/Tuning\learning_curve_exp_58.csv
